,STN,YEARMODA,TEMP,DIFF,PRCP,GUST
1198,722928,2009-11-30,59.29354838709677,17.612903225806452,0.013548387096774193,30.9
1199,722928,2010-11-30,58.47666666666667,17.626666666666672,0.012413793103448275,22.837500000000002
1200,722928,2011-11-30,58.430000000000014,16.82,0.09966666666666664,23.975
1201,722928,2012-11-30,59.68999999999999,15.046666666666665,0.015000000000000003,22.7
1202,722928,2013-11-30,,,,
1203,722928,2014-11-30,,,,
1204,722928,2015-11-30,67.4,22.0,0.0,
1205,722929,1983-11-30,,,,
1206,722929,1984-11-30,62.1,9.950000000000003,0.0,
1207,722929,1985-11-30,,,,
1208,722929,1986-11-30,61.5,14.000000000000007,0.0,
1209,722929,1987-11-30,58.93333333333334,12.200000000000001,0.0,
1210,722929,1988-11-30,60.14,2.4799999999999995,0.0,
1211,722929,1989-11-30,63.24285714285715,9.6,0.0,
1212,722929,1990-11-30,62.68947368421053,9.894736842105265,0.0,
1213,722929,1991-11-30,61.300000000000004,10.46,0.0,
1214,722929,1992-11-30,,,,
1215,722929,1993-11-30,61.81666666666666,9.966666666666669,0.0,
1216,722929,1994-11-30,57.025,10.75,0.0,
1217,722929,1995-11-30,62.4,8.675000000000002,0.0,
1218,722930,1989-11-30,61.91290322580644,28.82903225806452,0.005806451612903225,16.975
1219,722930,1990-11-30,62.086666666666666,27.766666666666666,0.03166666666666666,16.25625
1220,722930,1991-11-30,61.82333333333334,29.320000000000004,0.003,17.95
1221,722930,1992-11-30,60.47333333333333,28.396666666666672,0.0,16.424999999999997
1222,722930,1993-11-30,60.58387096774193,27.222580645161294,0.053870967741935484,20.28
1223,722930,1994-11-30,54.233333333333334,27.043333333333337,0.021666666666666667,17.625
1224,722930,1995-11-30,62.89999999999999,27.113333333333344,0.008333333333333333,16.9
1225,722930,1996-11-30,58.65333333333332,20.28666666666667,0.10482758620689654,17.650000000000002
1226,722930,1997-11-30,62.43928571428573,24.064285714285717,0.025357142857142856,20.36
1227,722930,1998-11-30,56.56333333333332,25.10333333333334,0.028333333333333335,17.3
1228,722930,1999-11-30,57.353333333333325,26.12,0.001,
1229,722930,2000-11-30,54.67,24.049999999999994,0.0007142857142857143,20.2
1230,722930,2001-11-30,59.20967741935484,18.65483870967742,0.028620689655172414,19.0
1231,722930,2002-11-30,61.15185185185186,25.72592592592593,0.023703703703703703,28.0
1232,722930,2003-11-30,57.64999999999999,20.050000000000008,0.0019230769230769232,16.0
1233,722930,2004-11-30,,,,
1234,722931,2004-11-30,57.25199999999999,19.584,0.02125,
1235,722931,2005-11-30,60.43870967741936,27.52258064516129,0.0025806451612903226,14.0
1236,722931,2006-11-30,60.743333333333325,23.643333333333334,0.014,17.933333333333334
1237,722931,2007-11-30,60.16666666666667,18.48333333333333,0.002,24.775
1238,722931,2008-11-30,62.749999999999986,25.400000000000002,0.048,18.525
1239,722931,2009-11-30,59.27741935483869,26.303225806451614,0.018064516129032256,24.018181818181816
1240,722931,2010-11-30,58.470000000000006,23.403333333333332,0.04066666666666667,19.675
1241,722931,2011-11-30,57.68333333333333,22.743333333333332,0.11333333333333329,20.516666666666666
1242,722931,2012-11-30,60.599999999999994,22.720000000000002,0.008333333333333335,16.983333333333334
1243,722931,2013-11-30,59.73000000000001,26.5,0.009000000000000001,21.400000000000002
1244,722931,2014-11-30,63.813333333333325,28.319999999999997,0.029333333333333336,18.9875
1245,722931,2015-11-30,72.1,34.00000000000001,0.0,
1246,722933,1984-11-30,,,,
1247,722933,1985-11-30,,,,
1248,722933,1986-11-30,,,,
1249,722933,1987-11-30,,,,
1250,722933,1988-11-30,,,,
1251,722933,1989-11-30,,,,
1252,722933,1990-11-30,,,,
1253,722933,1991-11-30,,,,
1254,722933,1992-11-30,,,,
1255,722933,1993-11-30,,,,
1256,722933,1994-11-30,,,,
1257,722933,1995-11-30,,,,
1258,722934,1999-11-30,55.146666666666675,26.889999999999997,0.0013793103448275863,15.299999999999999
1259,722934,2000-11-30,52.017241379310335,29.693103448275863,0.005517241379310346,15.933333333333332
1260,722934,2001-11-30,58.790322580645146,21.83225806451613,0.035,20.183333333333334
1261,722934,2002-11-30,58.269999999999996,29.583333333333332,0.03966666666666666,20.349999999999998
1262,722934,2003-11-30,56.010000000000005,26.319999999999997,0.020666666666666667,14.580000000000002
1263,722934,2004-11-30,54.74666666666668,24.916666666666668,0.017333333333333333,18.02857142857143
1264,722934,2005-11-30,57.638709677419364,28.777419354838706,0.0029032258064516123,16.9
1265,722934,2006-11-30,57.95666666666668,25.6,0.007,20.575
1266,722934,2007-11-30,57.97333333333333,20.846666666666668,0.0006666666666666666,16.225
1267,722934,2008-11-30,59.22,27.366666666666667,0.06099999999999999,19.244444444444444
1268,722934,2009-11-30,55.57419354838708,29.203225806451616,0.008064516129032258,20.91111111111111
1269,722934,2010-11-30,55.84666666666667,26.58666666666667,0.027000000000000007,21.563636363636363
1270,722934,2011-11-30,55.026666666666664,24.66666666666667,0.07933333333333331,17.230769230769234
1271,722934,2012-11-30,57.836666666666666,24.1,0.013666666666666667,20.75
1272,722934,2013-11-30,58.02666666666665,31.050000000000004,0.03833333333333334,16.639999999999997
1273,722934,2014-11-30,60.04333333333333,31.873333333333335,0.025,18.025
1274,722934,2015-11-30,63.8,38.0,0.0,
1275,722935,1988-11-30,63.0,,0.0,
1276,722935,1989-11-30,,,,
1277,722935,1990-11-30,,,,
1278,722935,1991-11-30,,,,
1279,722935,1992-11-30,,,,
1280,722935,1993-11-30,,,,
1281,722935,1994-11-30,,,,
1282,722935,1995-11-30,,,,
1283,722950,1981-11-30,61.196666666666665,19.06333333333334,0.09700000000000002,22.0
1284,722950,1982-11-30,60.78333333333334,20.116666666666667,0.129,30.939999999999998
1285,722950,1983-11-30,60.86666666666667,16.26666666666667,0.10899999999999999,29.083333333333332
1286,722950,1984-11-30,58.583333333333336,17.046666666666667,0.04900000000000001,19.759999999999998
1287,722950,1985-11-30,58.648387096774194,16.570967741935487,0.15838709677419355,29.457142857142856
1288,722950,1986-11-30,64.07333333333334,23.116666666666674,0.04566666666666666,27.266666666666666
1289,722950,1987-11-30,61.32666666666667,19.950000000000006,0.05366666666666667,23.0
1290,722950,1988-11-30,59.19999999999998,17.950000000000003,0.041,24.4
1291,722950,1989-11-30,63.438709677419354,24.09032258064516,0.02064516129032258,19.033333333333335
1292,722950,1990-11-30,63.19666666666665,24.83,0.0033333333333333335,24.53333333333333
1293,722950,1991-11-30,62.19333333333334,23.07,0.0,24.525
1294,722950,1992-11-30,63.406666666666666,23.306666666666665,0.0,24.925
1295,722950,1993-11-30,62.71612903225807,21.645161290322584,0.030000000000000002,26.05
1296,722950,1994-11-30,57.39666666666666,21.540000000000003,0.010000000000000002,24.34
1297,722950,1995-11-30,61.440000000000005,17.216666666666665,0.003666666666666667,
1298,722950,1996-11-30,61.65,16.753333333333337,0.06133333333333333,28.45
1299,722950,1997-11-30,63.23548387096773,18.63548387096774,0.06870967741935484,24.560000000000002
1300,722950,1998-11-30,59.573333333333316,18.62666666666667,0.037333333333333336,24.5
1301,722950,1999-11-30,60.58666666666667,16.813333333333333,0.011666666666666667,31.5
1302,722950,2000-11-30,58.08333333333334,21.573333333333334,0.002333333333333333,19.033333333333335
1303,722950,2001-11-30,60.36451612903225,16.24838709677419,0.04483870967741936,24.02
1304,722950,2002-11-30,63.223333333333336,22.36,0.05466666666666667,21.200000000000003
1305,722950,2003-11-30,59.21333333333333,18.680000000000003,0.04066666666666667,23.05
1306,722950,2004-11-30,59.06000000000002,18.98,0.004,21.116666666666664
1307,722950,2005-11-30,63.548387096774185,21.416129032258066,0.016129032258064516,20.26
1308,722950,2006-11-30,62.67666666666667,19.569999999999997,0.008333333333333333,20.775
1309,722950,2007-11-30,61.15999999999999,15.023333333333333,0.0,19.746666666666666
1310,722950,2008-11-30,63.38,18.44,0.07,24.275
1311,722950,2009-11-30,61.0258064516129,20.583870967741944,0.0,17.733333333333334
1312,722950,2010-11-30,61.34666666666667,20.919999999999998,0.01966666666666667,23.0
1313,722950,2011-11-30,59.306666666666665,20.073333333333334,0.05633333333333333,23.485714285714288
1314,722950,2012-11-30,61.83333333333333,16.369999999999997,0.024000000000000004,21.8
1315,722950,2013-11-30,63.05666666666668,19.756666666666664,0.023000000000000003,16.360000000000003
1316,722950,2014-11-30,64.53333333333333,20.536666666666672,0.04733333333333333,19.64
1317,722950,2015-11-30,69.5,24.800000000000004,0.0,
1318,722953,1986-11-30,62.281818181818174,12.47272727272727,0.0,26.04
1319,722953,1987-11-30,56.53125,12.893749999999999,0.0,22.833333333333332
1320,722953,1988-11-30,55.43333333333333,12.78095238095238,0.0,31.019999999999992
1321,722953,1989-11-30,59.07826086956521,18.304347826086957,0.0,29.9
1322,722953,1990-11-30,54.27272727272726,15.73181818181818,0.0,37.4875
1323,722953,1991-11-30,59.314285714285724,16.62380952380952,0.0,34.31428571428571
1324,722953,1992-11-30,53.98636363636364,16.35,0.0,28.125
1325,722953,1993-11-30,55.32272727272727,17.06818181818182,0.0,41.879999999999995
1326,722953,1994-11-30,48.7086956521739,13.408695652173916,0.0,39.454545454545446
1327,722953,1995-11-30,65.21,19.530000000000005,0.0,31.958333333333325
1328,722953,1996-11-30,57.857142857142854,15.428571428571423,0.0,36.17999999999999
1329,722953,1997-11-30,57.95000000000001,15.750000000000004,0.0,29.342857142857138
1330,722953,1998-11-30,56.2952380952381,18.771428571428572,0.0,42.42307692307692
1331,722953,1999-11-30,61.5818181818182,20.04545454545455,0.0,33.1
1332,722953,2000-11-30,53.0217391304348,14.08695652173913,0.0,37.96
1333,722953,2001-11-30,62.72608695652174,16.747826086956522,0.0,49.96666666666667
1334,722953,2002-11-30,60.14761904761905,17.22857142857143,0.0,38.266666666666666
1335,722953,2003-11-30,53.855000000000004,14.309999999999999,0.0,37.4
1336,722953,2004-11-30,55.22727272727274,17.018181818181816,0.0,24.985714285714284
1337,722953,2005-11-30,60.50526315789473,13.168421052631581,0.0,31.8625
1338,722953,2006-11-30,60.195454545454545,17.400000000000002,0.0,30.392307692307693
1339,722953,2007-11-30,62.26521739130435,21.6,0.0,25.849999999999998
1340,722953,2008-11-30,59.214999999999996,20.79,0.0,26.412499999999998
1341,722953,2009-11-30,59.9904761904762,26.314285714285717,0.0,28.322222222222223
1342,722953,2010-11-30,54.604000000000006,19.944000000000003,0.0,27.76153846153846
1343,722953,2011-11-30,49.20666666666667,21.780000000000005,0.0,29.15
1344,722953,2012-11-30,54.80689655172412,23.958620689655177,0.0,24.61111111111111
1345,722953,2013-11-30,53.40666666666668,20.939999999999998,0.0,27.55625
1346,722953,2014-11-30,55.353333333333346,22.14,0.0,30.734999999999996
1347,722953,2015-11-30,75.3,14.400000000000004,0.0,26.0
1348,722954,1984-11-30,62.9,4.799999999999997,0.0,
1349,722954,1985-11-30,,,,
1350,722954,1986-11-30,,,,
1351,722954,1987-11-30,,,,
1352,722954,1988-11-30,68.0,11.550000000000004,0.0,
1353,722954,1989-11-30,67.62857142857142,5.716666666666669,0.0,
1354,722954,1990-11-30,64.6,1.8999999999999984,0.0,
1355,722954,1991-11-30,64.88,8.840000000000007,0.0,
1356,722954,1992-11-30,,,,
1357,722954,1993-11-30,49.4,40.2,0.0,
1358,722954,1994-11-30,,,,
1359,722954,1995-11-30,,,,
1360,722955,1981-11-30,65.1,7.049999999999997,0.0,
1361,722955,1982-11-30,,,,
1362,722955,1983-11-30,62.60000000000001,11.26333333333333,0.0,29.899999999999995
1363,722955,1984-11-30,58.872413793103455,15.74137931034483,0.0,
1364,722955,1985-11-30,59.20000000000001,14.051612903225807,0.0,28.3
1365,722955,1986-11-30,65.34333333333333,19.386666666666667,0.0,25.666666666666668
1366,722955,1987-11-30,62.190000000000005,16.2,0.0,
1367,722955,1988-11-30,60.12333333333332,15.443333333333337,0.0,30.0
1368,722955,1989-11-30,64.85806451612905,18.977419354838712,0.0,
1369,722955,1990-11-30,64.49,21.39666666666667,0.0,27.0
1370,722955,1991-11-30,65.42,19.319999999999997,0.0,30.5
1371,722955,1992-11-30,64.50666666666665,20.923333333333336,0.0,20.833333333333332
1372,722955,1993-11-30,63.99032258064516,18.08387096774194,0.0,22.0
1373,722955,1994-11-30,58.963333333333324,18.483333333333338,0.0,25.119999999999997
1374,722955,1995-11-30,63.20357142857142,14.575000000000003,0.0,
1375,722955,1996-11-30,63.526666666666664,17.220000000000002,0.0,20.0
1376,722955,1997-11-30,66.28387096774195,16.89677419354839,0.0,23.05
1377,722955,1998-11-30,62.216666666666676,17.160000000000004,0.0,
1378,722955,1999-11-30,62.688888888888876,14.466666666666667,0.0,22.55
1379,722955,2000-11-30,60.64333333333334,18.600000000000005,0.0,
1380,722955,2001-11-30,61.50000000000001,12.960000000000003,0.0,24.95
1381,722955,2002-11-30,66.74666666666666,18.36,0.0,
1382,722955,2003-11-30,61.32333333333334,18.300000000000004,0.0,
1383,722955,2004-11-30,61.36333333333334,16.860000000000007,0.0,25.1
1384,722955,2005-11-30,66.60000000000001,18.522580645161284,0.0,29.9
1385,722955,2006-11-30,66.01481481481481,19.66666666666667,0.0,
1386,722955,2007-11-30,63.03999999999999,13.560000000000004,0.0,
1387,722955,2008-11-30,65.88,18.120000000000005,0.0,26.0
1388,722955,2009-11-30,64.21666666666667,18.720000000000002,0.0,17.1
1389,722955,2010-11-30,63.733333333333334,19.02,0.0,18.366666666666667
1390,722955,2011-11-30,63.13333333333333,16.320000000000004,0.0,
1391,722955,2012-11-30,64.91666666666667,15.000000000000004,0.0,
1392,722955,2013-11-30,66.40333333333332,16.98,0.0,
1393,722955,2014-11-30,68.73333333333333,19.429999999999996,0.0,
1394,722955,2015-11-30,75.2,21.6,0.0,
1395,722956,1998-11-30,58.966666666666676,20.485714285714284,0.035238095238095235,20.0
1396,722956,1999-11-30,64.71000000000001,18.55666666666667,0.014333333333333335,31.0
1397,722956,2000-11-30,57.796666666666674,21.09333333333333,0.005000000000000001,17.933333333333334
1398,722956,2001-11-30,59.9225806451613,17.083870967741937,0.024838709677419354,19.212500000000002
1399,722956,2002-11-30,62.99,24.12,0.0013793103448275863,17.580000000000002
1400,722956,2003-11-30,59.199999999999996,18.483333333333338,0.051,16.225
1401,722956,2004-11-30,58.82333333333333,19.19666666666667,0.008666666666666666,18.45
1402,722956,2005-11-30,63.37419354838709,21.2516129032258,0.013548387096774195,21.0
1403,722956,2006-11-30,63.88000000000001,18.666666666666668,0.009333333333333334,17.0
1404,722956,2007-11-30,63.91666666666666,14.896666666666668,0.0,15.0
1405,722956,2008-11-30,63.88666666666666,19.85,0.05366666666666667,19.716666666666665
1406,722956,2009-11-30,61.42903225806451,19.961290322580645,0.0006451612903225806,16.04
1407,722956,2010-11-30,63.24666666666668,19.630000000000003,0.01633333333333333,18.02
1408,722956,2011-11-30,60.52666666666667,17.87,0.04466666666666666,16.688888888888886
1409,722956,2012-11-30,61.51333333333334,16.02,0.017666666666666667,21.525000000000002
1410,722956,2013-11-30,63.23000000000001,20.73666666666667,0.021333333333333333,17.0
1411,722956,2014-11-30,65.62666666666667,21.90333333333333,0.001,18.333333333333332
1412,722956,2015-11-30,70.8,27.0,0.0,
1413,722958,1984-11-30,64.1,5.000000000000006,0.0,
1414,722958,1985-11-30,,,,
1415,722958,1986-11-30,,,,
1416,722958,1987-11-30,,,,
1417,722958,1988-11-30,,,,
1418,722958,1989-11-30,70.16666666666667,8.816666666666666,0.0,
1419,722958,1990-11-30,69.9,4.200000000000003,0.0,
1420,722958,1991-11-30,68.65,7.7250000000000005,0.0,
1421,722958,1992-11-30,,,,
1422,722958,1993-11-30,72.4,7.899999999999991,0.0,
1423,722958,1994-11-30,,,,
1424,722958,1995-11-30,,,,
1425,722970,1981-11-30,61.076666666666675,23.610000000000003,0.08,
1426,722970,1982-11-30,59.97333333333333,23.310000000000002,0.09766666666666665,26.683333333333334
1427,722970,1983-11-30,60.21333333333334,18.463333333333335,0.10499999999999998,31.95
1428,722970,1984-11-30,57.660000000000004,19.526666666666667,0.03666666666666667,
1429,722970,1985-11-30,58.01290322580645,18.76451612903226,0.13709677419354838,30.339999999999996
1430,722970,1986-11-30,64.38666666666667,26.113333333333337,0.013666666666666666,20.5
1431,722970,1987-11-30,63.026666666666664,22.926666666666666,0.033,
1432,722970,1988-11-30,60.85,19.763333333333332,0.006666666666666667,25.333333333333332
1433,722970,1989-11-30,65.44193548387098,26.845161290322586,0.003870967741935484,27.3
1434,722970,1990-11-30,64.07666666666667,27.660000000000007,0.0013333333333333333,22.0
1435,722970,1991-11-30,64.34333333333332,28.583333333333332,0.0013333333333333333,25.275
1436,722970,1992-11-30,64.24666666666666,26.17333333333334,0.0,31.899999999999995
1437,722970,1993-11-30,63.27096774193549,24.587096774193558,0.006774193548387097,19.125
1438,722970,1994-11-30,58.27000000000001,24.236666666666668,0.011333333333333334,25.080000000000002
1439,722970,1995-11-30,62.806666666666665,20.696666666666673,0.0006666666666666666,
1440,722970,1996-11-30,60.80666666666665,18.91,0.06133333333333333,22.0
1441,722970,1997-11-30,64.62258064516129,22.12903225806452,0.02,23.32
1442,722970,1998-11-30,59.67666666666666,21.346666666666668,0.04900000000000001,21.400000000000002
1443,722970,1999-11-30,59.886666666666656,23.113333333333333,0.006000000000000001,28.45
1444,722970,2000-11-30,56.49333333333333,25.450000000000003,0.0,17.5
1445,722970,2001-11-30,59.8548387096774,20.38064516129032,0.029,19.380000000000003
1446,722970,2002-11-30,62.686666666666675,27.0,0.014666666666666668,18.02
1447,722970,2003-11-30,59.11999999999999,22.650000000000002,0.014333333333333335,17.424999999999997
1448,722970,2004-11-30,58.15172413793104,19.43448275862069,0.012068965517241381,21.0
1449,722970,2005-11-30,62.900000000000006,25.403225806451612,0.004193548387096774,22.3
1450,722970,2006-11-30,62.54666666666666,25.543333333333333,0.0036666666666666666,17.95
1451,722970,2007-11-30,61.63000000000001,20.48666666666667,0.0,18.1
1452,722970,2008-11-30,63.300000000000004,24.98333333333333,0.105,20.285714285714285
1453,722970,2009-11-30,60.99677419354839,27.13870967741936,0.0,31.45
1454,722970,2010-11-30,60.37666666666668,25.53000000000001,0.020333333333333335,21.07
1455,722970,2011-11-30,58.84666666666668,23.530000000000005,0.041666666666666664,20.150000000000002
1456,722970,2012-11-30,62.013333333333335,21.64666666666667,0.02233333333333333,20.7
1457,722970,2013-11-30,62.60666666666669,24.626666666666658,0.026000000000000002,15.033333333333333
1458,722970,2014-11-30,64.32,25.529999999999998,0.011333333333333334,18.04
1459,722970,2015-11-30,70.7,28.1,0.0,
1460,722973,1981-11-30,68.4,16.9,0.0,
1461,722973,1982-11-30,56.9,9.9,0.0,
1462,722973,1983-11-30,57.7,11.9,0.0,
1463,722973,1984-11-30,58.5578947368421,7.747368421052633,0.0,
1464,722973,1985-11-30,,,,
1465,722973,1986-11-30,61.614285714285714,8.257142857142858,0.0,
1466,722973,1987-11-30,58.699999999999996,6.466666666666669,0.0,
1467,722973,1988-11-30,58.99285714285713,6.121428571428573,0.0,
1468,722973,1989-11-30,60.695999999999984,11.412,0.0,
1469,722973,1990-11-30,62.21818181818182,8.986363636363638,0.0,
1470,722973,1991-11-30,60.02916666666667,11.466666666666663,0.0,
1471,722973,1992-11-30,,,,
1472,722973,1993-11-30,43.36666666666667,24.137500000000003,0.0,
1473,722973,1994-11-30,43.14166666666667,26.788888888888888,0.0,
1474,722973,1995-11-30,55.44166666666667,6.328571428571429,0.0,
1475,722974,1981-11-30,61.146666666666675,22.180000000000003,0.06566666666666668,17.4
1476,722974,1982-11-30,59.620000000000005,21.75333333333334,0.109,26.060000000000002
1477,722974,1983-11-30,60.393333333333324,20.353333333333342,0.07233333333333333,25.700000000000003
1478,722974,1984-11-30,57.87999999999999,20.606666666666666,0.056666666666666664,19.525
1479,722974,1985-11-30,58.20645161290323,19.761290322580646,0.0635483870967742,27.975
1480,722974,1986-11-30,63.10666666666666,24.466666666666672,0.029333333333333333,26.299999999999997
1481,722974,1987-11-30,57.93666666666665,20.713333333333335,0.02633333333333333,27.100000000000005
1482,722974,1988-11-30,57.87,19.633333333333336,0.024333333333333335,24.03333333333333
1483,722974,1989-11-30,63.63928571428571,22.275,0.0071428571428571435,29.9
1484,722975,1982-11-30,63.39333333333334,20.509999999999998,0.05166666666666667,38.199999999999996
