STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
722900 23188  19810116    60.9 24    55.4 24  1015.0 24  1013.9  8    5.6 24    5.8 24   14.0  999.9    68.0    55.9   0.00D 999.9  100000 
722900 23188  19810117    61.3 24    56.2 24  1017.5 24  1016.3  8    4.4 24    6.3 24   13.0  999.9    68.0    56.8   0.00D 999.9  100000 
722900 23188  19810118    63.2 24    54.1 24  1019.9 24  1018.8  8    7.2 24    4.4 24   12.0  999.9    75.0*   54.9   0.00D 999.9  100000 
722900 23188  19810119    63.5 23    53.5 23  1020.7 23  1019.7  8    6.4 23    4.5 23   11.8  999.9    75.9    55.9   0.00D 999.9  100000 
722900 23188  19810120    60.1 24    54.6 24  1018.8 24  1017.7  8    6.7 24    6.2 24   15.0  999.9    70.0    54.0*  0.00D 999.9  100000 
722900 23188  19810121    60.2 22    55.0 22  1019.4 22  1018.4  8    5.4 22    6.2 22   13.0  999.9    70.0*   54.9   0.00C 999.9  100000 
722900 23188  19810122    59.6 24    56.2 24  1020.1 24  1018.9  8    1.6 24    5.1 24    8.0  999.9    72.0    54.0*  0.00D 999.9  100000 
722900 23188  19810123    60.9 23    55.9 23  1021.0 23  1019.9  8    5.8 23    6.2 23   14.0  999.9    64.9    57.9   0.00H 999.9  110000 
722900 23188  19810124    59.2 24    51.1 23  1021.5 24  1020.7  8   13.8 24    5.8 23    9.9  999.9    64.9*   52.9   0.00D 999.9  000000 
722900 23188  19810125    57.6 24    46.9 23  1015.7 24  1014.9  8   13.0 24    4.8 24   10.1  999.9    64.9    48.9   0.00D 999.9  000000 
722900 23188  19810126    57.1 24    47.0 24  1016.0 24  1014.8  8   11.7 24    3.4 24    8.0  999.9    66.0*   46.9   0.00D 999.9  000000 
722900 23188  19810127    58.9 24    46.3 24  1017.1 24  1016.1  8   13.8 24    5.0 24   10.1  999.9    65.8    52.0   0.00D 999.9  000000 
722900 23188  19810128    60.2 23    54.2 23  1016.7 22  1015.7  8   13.4 23    9.0 23   15.9  999.9    69.1*   55.9   0.01G 999.9  110000 
722900 23188  19810129    57.8 24    51.9 24  1020.1 24  1019.0  8   12.3 24    6.2 24   15.9  999.9    63.0    52.9   0.47G 999.9  010000 
722900 23188  19810130    57.0 24    50.0 24  1022.0 24  1020.9  8   14.0 24    8.5 24   18.8  999.9    63.9    54.0*  0.47G 999.9  110000 
722900 23188  19810131    54.1 23    42.3 23  1022.8 22  1021.7  8   20.1 23    7.4 23   15.9   21.0    61.0*   43.9   0.12G 999.9  010000 
722900 23188  19810201    55.7 24    37.5 24  1024.0 24  1023.0  8   18.9 24    7.1 24   15.0  999.9    66.0*   43.9   0.00G 999.9  000000 
722900 23188  19810202    56.4 24    41.8 24  1022.3 24  1021.4  8   13.1 24    5.5 24   11.1  999.9    70.0*   35.1*  0.00D 999.9  000000 
722900 23188  19810203    58.1 24    38.5 24  1018.7 24  1017.8  8   11.3 24    4.5 24   11.1  999.9    70.0    47.8   0.00D 999.9  000000 
722900 23188  19810204    58.6 24    49.6 24  1019.7 24  1018.5  8    9.8 24    6.0 24   10.9  999.9    68.0    50.0   0.00D 999.9  100000 
722900 23188  19810205    57.7 24    51.2 24  1019.5 24  1018.6  8    6.8 24    6.1 24   15.0  999.9    64.9    48.0*  0.00C 999.9  100000 
722900 23188  19810206    58.0 23    51.8 23  1017.5 23  1016.5  8    5.2 23    5.1 23   10.1  999.9    64.9    52.9   0.00D 999.9  100000 
722900 23188  19810207    57.7 24    50.8 24  1018.7 24  1017.6  8    5.5 24    4.2 24    8.9  999.9    66.0*   50.0   0.00D 999.9  100000 
722900 23188  19810208    59.7 24    51.3 24  1016.8 24  1015.7  8    8.3 24    4.2 24   11.1  999.9    65.8    55.9   0.00D 999.9  010000 
722900 23188  19810209    59.6 23    55.1 23  1012.9 23  1011.6  8   11.2 23   10.8 23   17.9   21.0    64.9*   54.0   0.80D 999.9  110000 
722900 23188  19810210    61.3 24    56.6 24  1017.0 23  1015.9  8   14.2 24    8.4 24   15.0  999.9    66.9*   57.9   0.06D 999.9  110000 
722900 23188  19810211    61.5 24    55.4 24  1022.0 24  1020.9  8   12.2 23    5.4 24   15.9  999.9    66.9*   57.9   0.02D 999.9  000000 
722900 23188  19810212    62.4 22    55.8 22  1021.9 22  1021.0  8    5.2 22    7.7 22   17.1   22.9    69.1*   55.9   0.00D 999.9  100000 
722900 23188  19810213    65.1 21    50.8 21  1022.3 21  1021.0  8    9.3 21    5.4 21   15.9  999.9    79.0*   52.9   0.00D 999.9  100000 
722900 23188  19810214    67.6 24    43.7 24  1022.4 24  1021.5  8   16.1 24    6.7 24   15.9  999.9    79.9    56.8   0.00D 999.9  000000 
722900 23188  19810215    64.1 24    54.1 24  1018.5 24  1017.9  8    9.6 24    5.8 24   11.8  999.9    77.9    54.9   0.00D 999.9  100000 
722900 23188  19810216    66.3 23    50.3 23  1014.5 23  1013.6  8   11.5 23    5.8 23   12.8  999.9    81.0*   54.9   0.00D 999.9  100000 
722900 23188  19810217    67.5 23    48.0 23  1013.6 23  1012.7  8    9.8 23    4.2 23  999.9  999.9    81.0    56.8   0.00D 999.9  000000 
722900 23188  19810218    67.7 24    50.6 24  1016.3 23  1015.1  8    9.2 24    4.8 24   12.0  999.9    80.1*   57.0*  0.00D 999.9  000000 
722900 23188  19810219    68.9 24    51.4 24  1018.3 24  1017.2  8    8.8 24    5.1 24   12.8  999.9    82.9*   59.0   0.79D 999.9  000000 
722900 23188  19810220    65.3 23    55.2 23  1014.2 23  1013.3  8    4.5 23    4.5 23   10.1  999.9    82.9    55.9   0.00D 999.9  100000 
